phone,id,fol,prev,word,start,end,file_name
,0-0-8-0,#,#,,1.83,1.86,habitanteysuesperanza_01_neruda_128kb_09
ẽ,0-0-9-0,n,#,en,1.86,1.91,habitanteysuesperanza_01_neruda_128kb_09
n,0-0-9-1,#,ẽ,en,1.91,1.98,habitanteysuesperanza_01_neruda_128kb_09
ũ,0-0-10-0,n,#,un,1.98,2.03,habitanteysuesperanza_01_neruda_128kb_09
n,0-0-10-1,#,ũ,un,2.03,2.12,habitanteysuesperanza_01_neruda_128kb_09
spn,0-0-11-0,#,#,troco,2.12,2.75,habitanteysuesperanza_01_neruda_128kb_09
,0-0-12-0,#,#,,2.75,2.78,habitanteysuesperanza_01_neruda_128kb_09
m,0-0-13-0,i,#,mirando,2.78,2.87,habitanteysuesperanza_01_neruda_128kb_09
i,0-0-13-1,ɾ,m,mirando,2.87,2.91,habitanteysuesperanza_01_neruda_128kb_09
ɾ,0-0-13-2,ã,i,mirando,2.91,2.95,habitanteysuesperanza_01_neruda_128kb_09
ã,0-0-13-3,n,ɾ,mirando,2.95,3.03,habitanteysuesperanza_01_neruda_128kb_09
n,0-0-13-4,d̪,ã,mirando,3.03,3.11,habitanteysuesperanza_01_neruda_128kb_09
d̪,0-0-13-5,o,n,mirando,3.11,3.16,habitanteysuesperanza_01_neruda_128kb_09
o,0-0-13-6,#,d̪,mirando,3.16,3.27,habitanteysuesperanza_01_neruda_128kb_09
a,0-0-14-0,s,#,hasta,3.27,3.34,habitanteysuesperanza_01_neruda_128kb_09
s,0-0-14-1,t̪,a,hasta,3.34,3.44,habitanteysuesperanza_01_neruda_128kb_09
t̪,0-0-14-2,a,s,hasta,3.44,3.5,habitanteysuesperanza_01_neruda_128kb_09
a,0-0-14-3,#,t̪,hasta,3.5,3.54,habitanteysuesperanza_01_neruda_128kb_09
l,0-0-15-0,e,#,lejos,3.54,3.62,habitanteysuesperanza_01_neruda_128kb_09
e,0-0-15-1,x,l,lejos,3.62,3.69,habitanteysuesperanza_01_neruda_128kb_09
x,0-0-15-2,o,e,lejos,3.69,3.81,habitanteysuesperanza_01_neruda_128kb_09
o,0-0-15-3,s,x,lejos,3.81,3.92,habitanteysuesperanza_01_neruda_128kb_09
s,0-0-15-4,#,o,lejos,3.92,4.13,habitanteysuesperanza_01_neruda_128kb_09
,0-0-16-0,#,#,,4.13,4.22,habitanteysuesperanza_01_neruda_128kb_09
e,0-0-17-0,l,#,el,4.22,4.3,habitanteysuesperanza_01_neruda_128kb_09
l,0-0-17-1,#,e,el,4.3,4.35,habitanteysuesperanza_01_neruda_128kb_09
a,0-0-18-0,ɣ,#,agua,4.35,4.42,habitanteysuesperanza_01_neruda_128kb_09
ɣ,0-0-18-1,w,a,agua,4.42,4.51,habitanteysuesperanza_01_neruda_128kb_09
w,0-0-18-2,a,ɣ,agua,4.51,4.57,habitanteysuesperanza_01_neruda_128kb_09
a,0-0-18-3,#,w,agua,4.57,4.63,habitanteysuesperanza_01_neruda_128kb_09
ĩ,0-0-19-0,m,#,inmensa,4.63,4.66,habitanteysuesperanza_01_neruda_128kb_09
m,0-0-19-1,ẽ,ĩ,inmensa,4.66,4.76,habitanteysuesperanza_01_neruda_128kb_09
ẽ,0-0-19-2,n,m,inmensa,4.76,4.84,habitanteysuesperanza_01_neruda_128kb_09
n,0-0-19-3,s,ẽ,inmensa,4.84,4.9,habitanteysuesperanza_01_neruda_128kb_09
s,0-0-19-4,a,n,inmensa,4.9,5.02,habitanteysuesperanza_01_neruda_128kb_09
a,0-0-19-5,#,s,inmensa,5.02,5.38,habitanteysuesperanza_01_neruda_128kb_09
,0-0-20-0,#,#,,5.38,5.43,habitanteysuesperanza_01_neruda_128kb_09
spn,0-0-21-0,#,#,oliendo,5.43,5.79,habitanteysuesperanza_01_neruda_128kb_09
e,0-0-22-0,l,#,el,5.79,5.82,habitanteysuesperanza_01_neruda_128kb_09
l,0-0-22-1,#,e,el,5.82,5.86,habitanteysuesperanza_01_neruda_128kb_09
a,0-0-23-0,ð,#,atmósfera,5.86,5.98,habitanteysuesperanza_01_neruda_128kb_09
ð,0-0-23-1,m,a,atmósfera,5.98,5.99,habitanteysuesperanza_01_neruda_128kb_09
m,0-0-23-2,o,ð,atmósfera,5.99,6.08,habitanteysuesperanza_01_neruda_128kb_09
o,0-0-23-3,s,m,atmósfera,6.08,6.15,habitanteysuesperanza_01_neruda_128kb_09
s,0-0-23-4,f,o,atmósfera,6.15,6.23,habitanteysuesperanza_01_neruda_128kb_09
f,0-0-23-5,e,s,atmósfera,6.23,6.3,habitanteysuesperanza_01_neruda_128kb_09
e,0-0-23-6,ɾ,f,atmósfera,6.3,6.33,habitanteysuesperanza_01_neruda_128kb_09
ɾ,0-0-23-7,a,e,atmósfera,6.33,6.38,habitanteysuesperanza_01_neruda_128kb_09
a,0-0-23-8,#,ɾ,atmósfera,6.38,6.43,habitanteysuesperanza_01_neruda_128kb_09
ʎ,0-0-24-0,i,#,libre,6.43,6.51,habitanteysuesperanza_01_neruda_128kb_09
i,0-0-24-1,β,ʎ,libre,6.51,6.59,habitanteysuesperanza_01_neruda_128kb_09
β,0-0-24-2,ɾ,i,libre,6.59,6.66,habitanteysuesperanza_01_neruda_128kb_09
ɾ,0-0-24-3,e,β,libre,6.66,6.71,habitanteysuesperanza_01_neruda_128kb_09
e,0-0-24-4,#,ɾ,libre,6.71,6.87,habitanteysuesperanza_01_neruda_128kb_09
,0-0-25-0,#,#,,6.87,7.07,habitanteysuesperanza_01_neruda_128kb_09
m,0-0-26-0,i,#,mirando,7.07,7.14,habitanteysuesperanza_01_neruda_128kb_09
i,0-0-26-1,ɾ,m,mirando,7.14,7.17,habitanteysuesperanza_01_neruda_128kb_09
ɾ,0-0-26-2,ã,i,mirando,7.17,7.22,habitanteysuesperanza_01_neruda_128kb_09
ã,0-0-26-3,n,ɾ,mirando,7.22,7.32,habitanteysuesperanza_01_neruda_128kb_09
n,0-0-26-4,d̪,ã,mirando,7.32,7.38,habitanteysuesperanza_01_neruda_128kb_09
d̪,0-0-26-5,o,n,mirando,7.38,7.42,habitanteysuesperanza_01_neruda_128kb_09
o,0-0-26-6,#,d̪,mirando,7.42,7.45,habitanteysuesperanza_01_neruda_128kb_09
a,0-0-27-0,#,#,a,7.45,7.52,habitanteysuesperanza_01_neruda_128kb_09
k,0-0-28-0,a,#,cada,7.52,7.57,habitanteysuesperanza_01_neruda_128kb_09
a,0-0-28-1,ð,k,cada,7.57,7.63,habitanteysuesperanza_01_neruda_128kb_09
ð,0-0-28-2,a,a,cada,7.63,7.69,habitanteysuesperanza_01_neruda_128kb_09
a,0-0-28-3,#,ð,cada,7.69,7.77,habitanteysuesperanza_01_neruda_128kb_09
spn,0-0-29-0,#,#,carretta,7.77,8.19,habitanteysuesperanza_01_neruda_128kb_09
c,0-0-30-0,e,#,que,8.19,8.23,habitanteysuesperanza_01_neruda_128kb_09
e,0-0-30-1,#,c,que,8.23,8.33,habitanteysuesperanza_01_neruda_128kb_09
k,0-0-31-0,r,#,cruza,8.33,8.38,habitanteysuesperanza_01_neruda_128kb_09
r,0-0-31-1,u,k,cruza,8.38,8.46,habitanteysuesperanza_01_neruda_128kb_09
u,0-0-31-2,s,r,cruza,8.46,8.53,habitanteysuesperanza_01_neruda_128kb_09
s,0-0-31-3,a,u,cruza,8.53,8.65,habitanteysuesperanza_01_neruda_128kb_09
a,0-0-31-4,#,s,cruza,8.65,8.79,habitanteysuesperanza_01_neruda_128kb_09
a,0-0-32-0,s,#,hacia,8.79,8.83,habitanteysuesperanza_01_neruda_128kb_09
s,0-0-32-1,j,a,hacia,8.83,8.93,habitanteysuesperanza_01_neruda_128kb_09
j,0-0-32-2,a,s,hacia,8.93,8.96,habitanteysuesperanza_01_neruda_128kb_09
a,0-0-32-3,#,j,hacia,8.96,8.97,habitanteysuesperanza_01_neruda_128kb_09
e,0-0-33-0,l,#,el,8.97,9.0,habitanteysuesperanza_01_neruda_128kb_09
l,0-0-33-1,#,e,el,9.0,9.06,habitanteysuesperanza_01_neruda_128kb_09
p,0-0-34-0,w,#,pueblo,9.06,9.16,habitanteysuesperanza_01_neruda_128kb_09
w,0-0-34-1,e,p,pueblo,9.16,9.2,habitanteysuesperanza_01_neruda_128kb_09
e,0-0-34-2,β,w,pueblo,9.2,9.25,habitanteysuesperanza_01_neruda_128kb_09
β,0-0-34-3,l,e,pueblo,9.25,9.3,habitanteysuesperanza_01_neruda_128kb_09
l,0-0-34-4,o,β,pueblo,9.3,9.35,habitanteysuesperanza_01_neruda_128kb_09
o,0-0-34-5,#,l,pueblo,9.35,9.45,habitanteysuesperanza_01_neruda_128kb_09
k,0-0-35-0,õ,#,con,9.45,9.5,habitanteysuesperanza_01_neruda_128kb_09
õ,0-0-35-1,n,k,con,9.5,9.53,habitanteysuesperanza_01_neruda_128kb_09
n,0-0-35-2,#,õ,con,9.53,9.59,habitanteysuesperanza_01_neruda_128kb_09
k,0-0-36-0,o,#,comerciantes,9.59,9.66,habitanteysuesperanza_01_neruda_128kb_09
o,0-0-36-1,m,k,comerciantes,9.66,9.7,habitanteysuesperanza_01_neruda_128kb_09
m,0-0-36-2,e,o,comerciantes,9.7,9.76,habitanteysuesperanza_01_neruda_128kb_09
e,0-0-36-3,r,m,comerciantes,9.76,9.79,habitanteysuesperanza_01_neruda_128kb_09
r,0-0-36-4,s,e,comerciantes,9.79,9.83,habitanteysuesperanza_01_neruda_128kb_09
s,0-0-36-5,j,r,comerciantes,9.83,9.94,habitanteysuesperanza_01_neruda_128kb_09
j,0-0-36-6,ã,s,comerciantes,9.94,9.98,habitanteysuesperanza_01_neruda_128kb_09
ã,0-0-36-7,n,j,comerciantes,9.98,10.09,habitanteysuesperanza_01_neruda_128kb_09
n,0-0-36-8,t̪,ã,comerciantes,10.09,10.2,habitanteysuesperanza_01_neruda_128kb_09
t̪,0-0-36-9,e,n,comerciantes,10.2,10.24,habitanteysuesperanza_01_neruda_128kb_09
e,0-0-36-10,s,t̪,comerciantes,10.24,10.34,habitanteysuesperanza_01_neruda_128kb_09
s,0-0-36-11,#,e,comerciantes,10.34,10.52,habitanteysuesperanza_01_neruda_128kb_09
,0-0-37-0,#,#,,10.52,10.7,habitanteysuesperanza_01_neruda_128kb_09
ĩ,0-0-38-0,n,#,indios,10.7,10.81,habitanteysuesperanza_01_neruda_128kb_09
n,0-0-38-1,d̪,ĩ,indios,10.81,10.89,habitanteysuesperanza_01_neruda_128kb_09
d̪,0-0-38-2,j,n,indios,10.89,10.92,habitanteysuesperanza_01_neruda_128kb_09
j,0-0-38-3,o,d̪,indios,10.92,10.95,habitanteysuesperanza_01_neruda_128kb_09
o,0-0-38-4,s,j,indios,10.95,11.0,habitanteysuesperanza_01_neruda_128kb_09
s,0-0-38-5,#,o,indios,11.0,11.09,habitanteysuesperanza_01_neruda_128kb_09
i,0-0-39-0,#,#,y,11.09,11.15,habitanteysuesperanza_01_neruda_128kb_09
t̪,0-0-40-0,ɾ,#,trabajadores,11.15,11.2,habitanteysuesperanza_01_neruda_128kb_09
ɾ,0-0-40-1,a,t̪,trabajadores,11.2,11.26,habitanteysuesperanza_01_neruda_128kb_09
a,0-0-40-2,β,ɾ,trabajadores,11.26,11.29,habitanteysuesperanza_01_neruda_128kb_09
β,0-0-40-3,a,a,trabajadores,11.29,11.37,habitanteysuesperanza_01_neruda_128kb_09
a,0-0-40-4,x,β,trabajadores,11.37,11.41,habitanteysuesperanza_01_neruda_128kb_09
x,0-0-40-5,a,a,trabajadores,11.41,11.52,habitanteysuesperanza_01_neruda_128kb_09
a,0-0-40-6,ð,x,trabajadores,11.52,11.56,habitanteysuesperanza_01_neruda_128kb_09
ð,0-0-40-7,o,a,trabajadores,11.56,11.59,habitanteysuesperanza_01_neruda_128kb_09
o,0-0-40-8,ɾ,ð,trabajadores,11.59,11.72,habitanteysuesperanza_01_neruda_128kb_09
ɾ,0-0-40-9,e,o,trabajadores,11.72,11.77,habitanteysuesperanza_01_neruda_128kb_09
e,0-0-40-10,s,ɾ,trabajadores,11.77,11.85,habitanteysuesperanza_01_neruda_128kb_09
s,0-0-40-11,#,e,trabajadores,11.85,12.0,habitanteysuesperanza_01_neruda_128kb_09
ɟʝ,0-0-41-0,e,#,y,12.0,12.06,habitanteysuesperanza_01_neruda_128kb_09
e,0-0-41-1,#,ɟʝ,y,12.06,12.09,habitanteysuesperanza_01_neruda_128kb_09
b,0-0-42-0,j,#,viajeros,12.09,12.15,habitanteysuesperanza_01_neruda_128kb_09
j,0-0-42-1,a,b,viajeros,12.15,12.18,habitanteysuesperanza_01_neruda_128kb_09
a,0-0-42-2,ç,j,viajeros,12.18,12.23,habitanteysuesperanza_01_neruda_128kb_09
ç,0-0-42-3,e,a,viajeros,12.23,12.32,habitanteysuesperanza_01_neruda_128kb_09
e,0-0-42-4,ɾ,ç,viajeros,12.32,12.42,habitanteysuesperanza_01_neruda_128kb_09
ɾ,0-0-42-5,o,e,viajeros,12.42,12.46,habitanteysuesperanza_01_neruda_128kb_09
o,0-0-42-6,s,ɾ,viajeros,12.46,12.59,habitanteysuesperanza_01_neruda_128kb_09
s,0-0-42-7,#,o,viajeros,12.59,12.82,habitanteysuesperanza_01_neruda_128kb_09
,0-0-43-0,#,#,,12.82,12.858753,habitanteysuesperanza_01_neruda_128kb_09
,0-0-0-0,#,#,,0.0,0.03,habitanteysuesperanza_01_neruda_128kb_10
u,0-0-1-0,n,#,una,0.03,0.13,habitanteysuesperanza_01_neruda_128kb_10
n,0-0-1-1,a,u,una,0.13,0.16,habitanteysuesperanza_01_neruda_128kb_10
a,0-0-1-2,#,n,una,0.16,0.19,habitanteysuesperanza_01_neruda_128kb_10
e,0-0-2-0,s,#,especie,0.19,0.22,habitanteysuesperanza_01_neruda_128kb_10
s,0-0-2-1,p,e,especie,0.22,0.31,habitanteysuesperanza_01_neruda_128kb_10
p,0-0-2-2,e,s,especie,0.31,0.37,habitanteysuesperanza_01_neruda_128kb_10
e,0-0-2-3,s,p,especie,0.37,0.45,habitanteysuesperanza_01_neruda_128kb_10
s,0-0-2-4,j,e,especie,0.45,0.55,habitanteysuesperanza_01_neruda_128kb_10
j,0-0-2-5,e,s,especie,0.55,0.58,habitanteysuesperanza_01_neruda_128kb_10
e,0-0-2-6,#,j,especie,0.58,0.61,habitanteysuesperanza_01_neruda_128kb_10
d̪,0-0-3-0,e,#,de,0.61,0.66,habitanteysuesperanza_01_neruda_128kb_10
e,0-0-3-1,#,d̪,de,0.66,0.7,habitanteysuesperanza_01_neruda_128kb_10
f,0-0-4-0,w,#,fuerza,0.7,0.82,habitanteysuesperanza_01_neruda_128kb_10
w,0-0-4-1,e,f,fuerza,0.82,0.85,habitanteysuesperanza_01_neruda_128kb_10
e,0-0-4-2,r,w,fuerza,0.85,0.88,habitanteysuesperanza_01_neruda_128kb_10
r,0-0-4-3,s,e,fuerza,0.88,0.93,habitanteysuesperanza_01_neruda_128kb_10
s,0-0-4-4,a,r,fuerza,0.93,1.02,habitanteysuesperanza_01_neruda_128kb_10
a,0-0-4-5,#,s,fuerza,1.02,1.07,habitanteysuesperanza_01_neruda_128kb_10
d̪,0-0-5-0,e,#,de,1.07,1.11,habitanteysuesperanza_01_neruda_128kb_10
e,0-0-5-1,#,d̪,de,1.11,1.14,habitanteysuesperanza_01_neruda_128kb_10
e,0-0-6-0,s,#,esperanza,1.14,1.17,habitanteysuesperanza_01_neruda_128kb_10
s,0-0-6-1,p,e,esperanza,1.17,1.22,habitanteysuesperanza_01_neruda_128kb_10
p,0-0-6-2,e,s,esperanza,1.22,1.29,habitanteysuesperanza_01_neruda_128kb_10
e,0-0-6-3,ɾ,p,esperanza,1.29,1.33,habitanteysuesperanza_01_neruda_128kb_10
ɾ,0-0-6-4,ã,e,esperanza,1.33,1.38,habitanteysuesperanza_01_neruda_128kb_10
ã,0-0-6-5,n,ɾ,esperanza,1.38,1.45,habitanteysuesperanza_01_neruda_128kb_10
n,0-0-6-6,s,ã,esperanza,1.45,1.5,habitanteysuesperanza_01_neruda_128kb_10
s,0-0-6-7,a,n,esperanza,1.5,1.59,habitanteysuesperanza_01_neruda_128kb_10
a,0-0-6-8,#,s,esperanza,1.59,1.63,habitanteysuesperanza_01_neruda_128kb_10
s,0-0-7-0,e,#,se,1.63,1.73,habitanteysuesperanza_01_neruda_128kb_10
e,0-0-7-1,#,s,se,1.73,1.77,habitanteysuesperanza_01_neruda_128kb_10
p,0-0-8-0,o,#,pone,1.77,1.89,habitanteysuesperanza_01_neruda_128kb_10
o,0-0-8-1,n,p,pone,1.89,1.97,habitanteysuesperanza_01_neruda_128kb_10
n,0-0-8-2,e,o,pone,1.97,2.04,habitanteysuesperanza_01_neruda_128kb_10
e,0-0-8-3,#,n,pone,2.04,2.1,habitanteysuesperanza_01_neruda_128kb_10
ẽ,0-0-9-0,n,#,en,2.1,2.14,habitanteysuesperanza_01_neruda_128kb_10
n,0-0-9-1,#,ẽ,en,2.14,2.17,habitanteysuesperanza_01_neruda_128kb_10
m,0-0-10-0,i,#,mi,2.17,2.22,habitanteysuesperanza_01_neruda_128kb_10
i,0-0-10-1,#,m,mi,2.22,2.28,habitanteysuesperanza_01_neruda_128kb_10
m,0-0-11-0,a,#,manera,2.28,2.33,habitanteysuesperanza_01_neruda_128kb_10
a,0-0-11-1,n,m,manera,2.33,2.4,habitanteysuesperanza_01_neruda_128kb_10
n,0-0-11-2,e,a,manera,2.4,2.45,habitanteysuesperanza_01_neruda_128kb_10
e,0-0-11-3,ɾ,n,manera,2.45,2.55,habitanteysuesperanza_01_neruda_128kb_10
ɾ,0-0-11-4,a,e,manera,2.55,2.58,habitanteysuesperanza_01_neruda_128kb_10
a,0-0-11-5,#,ɾ,manera,2.58,2.65,habitanteysuesperanza_01_neruda_128kb_10
d̪,0-0-12-0,e,#,de,2.65,2.7,habitanteysuesperanza_01_neruda_128kb_10
e,0-0-12-1,#,d̪,de,2.7,2.75,habitanteysuesperanza_01_neruda_128kb_10
b,0-0-13-0,i,#,vivir,2.75,2.81,habitanteysuesperanza_01_neruda_128kb_10
i,0-0-13-1,β,b,vivir,2.81,2.86,habitanteysuesperanza_01_neruda_128kb_10
β,0-0-13-2,i,i,vivir,2.86,2.91,habitanteysuesperanza_01_neruda_128kb_10
i,0-0-13-3,ɾ,β,vivir,2.91,3.02,habitanteysuesperanza_01_neruda_128kb_10
ɾ,0-0-13-4,#,i,vivir,3.02,3.12,habitanteysuesperanza_01_neruda_128kb_10
,0-0-14-0,#,#,,3.12,3.15,habitanteysuesperanza_01_neruda_128kb_10
a,0-0-15-0,c,#,aquel,3.15,3.25,habitanteysuesperanza_01_neruda_128kb_10
c,0-0-15-1,e,a,aquel,3.25,3.32,habitanteysuesperanza_01_neruda_128kb_10
e,0-0-15-2,l,c,aquel,3.32,3.37,habitanteysuesperanza_01_neruda_128kb_10
l,0-0-15-3,#,e,aquel,3.37,3.46,habitanteysuesperanza_01_neruda_128kb_10
d̪,0-0-16-0,i,#,día,3.46,3.51,habitanteysuesperanza_01_neruda_128kb_10
i,0-0-16-1,a,d̪,día,3.51,3.63,habitanteysuesperanza_01_neruda_128kb_10
a,0-0-16-2,#,i,día,3.63,3.95,habitanteysuesperanza_01_neruda_128kb_10
,0-0-17-0,#,#,,3.95,3.98,habitanteysuesperanza_01_neruda_128kb_10
u,0-0-18-0,n,#,una,3.98,4.08,habitanteysuesperanza_01_neruda_128kb_10
n,0-0-18-1,a,u,una,4.08,4.13,habitanteysuesperanza_01_neruda_128kb_10
a,0-0-18-2,#,n,una,4.13,4.17,habitanteysuesperanza_01_neruda_128kb_10
m,0-0-19-0,a,#,manera,4.17,4.24,habitanteysuesperanza_01_neruda_128kb_10
a,0-0-19-1,n,m,manera,4.24,4.27,habitanteysuesperanza_01_neruda_128kb_10
n,0-0-19-2,e,a,manera,4.27,4.32,habitanteysuesperanza_01_neruda_128kb_10
e,0-0-19-3,ɾ,n,manera,4.32,4.41,habitanteysuesperanza_01_neruda_128kb_10
ɾ,0-0-19-4,a,e,manera,4.41,4.45,habitanteysuesperanza_01_neruda_128kb_10
a,0-0-19-5,#,ɾ,manera,4.45,4.5,habitanteysuesperanza_01_neruda_128kb_10
s,0-0-20-0,u,#,superior,4.5,4.62,habitanteysuesperanza_01_neruda_128kb_10
u,0-0-20-1,p,s,superior,4.62,4.69,habitanteysuesperanza_01_neruda_128kb_10
p,0-0-20-2,e,u,superior,4.69,4.73,habitanteysuesperanza_01_neruda_128kb_10
e,0-0-20-3,ɾ,p,superior,4.73,4.77,habitanteysuesperanza_01_neruda_128kb_10
ɾ,0-0-20-4,j,e,superior,4.77,4.8,habitanteysuesperanza_01_neruda_128kb_10
j,0-0-20-5,o,ɾ,superior,4.8,4.85,habitanteysuesperanza_01_neruda_128kb_10
o,0-0-20-6,r,j,superior,4.85,4.95,habitanteysuesperanza_01_neruda_128kb_10
r,0-0-20-7,#,o,superior,4.95,5.01,habitanteysuesperanza_01_neruda_128kb_10
a,0-0-21-0,#,#,a,5.01,5.06,habitanteysuesperanza_01_neruda_128kb_10
l,0-0-22-0,a,#,la,5.06,5.11,habitanteysuesperanza_01_neruda_128kb_10
a,0-0-22-1,#,l,la,5.11,5.19,habitanteysuesperanza_01_neruda_128kb_10
ĩ,0-0-23-0,n,#,indolencia,5.19,5.23,habitanteysuesperanza_01_neruda_128kb_10
n,0-0-23-1,d̪,ĩ,indolencia,5.23,5.27,habitanteysuesperanza_01_neruda_128kb_10
d̪,0-0-23-2,o,n,indolencia,5.27,5.32,habitanteysuesperanza_01_neruda_128kb_10
o,0-0-23-3,l,d̪,indolencia,5.32,5.36,habitanteysuesperanza_01_neruda_128kb_10
l,0-0-23-4,ẽ,o,indolencia,5.36,5.42,habitanteysuesperanza_01_neruda_128kb_10
ẽ,0-0-23-5,n,l,indolencia,5.42,5.52,habitanteysuesperanza_01_neruda_128kb_10
n,0-0-23-6,s,ẽ,indolencia,5.52,5.58,habitanteysuesperanza_01_neruda_128kb_10
s,0-0-23-7,j,n,indolencia,5.58,5.69,habitanteysuesperanza_01_neruda_128kb_10
j,0-0-23-8,a,s,indolencia,5.69,5.73,habitanteysuesperanza_01_neruda_128kb_10
a,0-0-23-9,#,j,indolencia,5.73,6.09,habitanteysuesperanza_01_neruda_128kb_10
,0-0-24-0,#,#,,6.09,6.13,habitanteysuesperanza_01_neruda_128kb_10
e,0-0-25-0,ɣ,#,exactamente,6.13,6.18,habitanteysuesperanza_01_neruda_128kb_10
ɣ,0-0-25-1,s,e,exactamente,6.18,6.22,habitanteysuesperanza_01_neruda_128kb_10
s,0-0-25-2,a,ɣ,exactamente,6.22,6.29,habitanteysuesperanza_01_neruda_128kb_10
a,0-0-25-3,ɣ,s,exactamente,6.29,6.34,habitanteysuesperanza_01_neruda_128kb_10
ɣ,0-0-25-4,t̪,a,exactamente,6.34,6.4,habitanteysuesperanza_01_neruda_128kb_10
t̪,0-0-25-5,a,ɣ,exactamente,6.4,6.45,habitanteysuesperanza_01_neruda_128kb_10
a,0-0-25-6,m,t̪,exactamente,6.45,6.49,habitanteysuesperanza_01_neruda_128kb_10
m,0-0-25-7,ẽ,a,exactamente,6.49,6.56,habitanteysuesperanza_01_neruda_128kb_10
ẽ,0-0-25-8,n,m,exactamente,6.56,6.63,habitanteysuesperanza_01_neruda_128kb_10
n,0-0-25-9,t̪,ẽ,exactamente,6.63,6.69,habitanteysuesperanza_01_neruda_128kb_10
t̪,0-0-25-10,e,n,exactamente,6.69,6.74,habitanteysuesperanza_01_neruda_128kb_10
e,0-0-25-11,#,t̪,exactamente,6.74,6.77,habitanteysuesperanza_01_neruda_128kb_10
s,0-0-26-0,u,#,superior,6.77,6.87,habitanteysuesperanza_01_neruda_128kb_10
u,0-0-26-1,p,s,superior,6.87,6.93,habitanteysuesperanza_01_neruda_128kb_10
p,0-0-26-2,e,u,superior,6.93,6.98,habitanteysuesperanza_01_neruda_128kb_10
e,0-0-26-3,ɾ,p,superior,6.98,7.02,habitanteysuesperanza_01_neruda_128kb_10
ɾ,0-0-26-4,j,e,superior,7.02,7.05,habitanteysuesperanza_01_neruda_128kb_10
j,0-0-26-5,o,ɾ,superior,7.05,7.09,habitanteysuesperanza_01_neruda_128kb_10
o,0-0-26-6,r,j,superior,7.09,7.19,habitanteysuesperanza_01_neruda_128kb_10
r,0-0-26-7,#,o,superior,7.19,7.23,habitanteysuesperanza_01_neruda_128kb_10
a,0-0-27-0,#,#,a,7.23,7.28,habitanteysuesperanza_01_neruda_128kb_10
m,0-0-28-0,i,#,mi,7.28,7.36,habitanteysuesperanza_01_neruda_128kb_10
i,0-0-28-1,#,m,mi,7.36,7.42,habitanteysuesperanza_01_neruda_128kb_10
ĩ,0-0-29-0,n,#,indolencia,7.42,7.46,habitanteysuesperanza_01_neruda_128kb_10
n,0-0-29-1,d̪,ĩ,indolencia,7.46,7.51,habitanteysuesperanza_01_neruda_128kb_10
d̪,0-0-29-2,o,n,indolencia,7.51,7.56,habitanteysuesperanza_01_neruda_128kb_10
o,0-0-29-3,l,d̪,indolencia,7.56,7.61,habitanteysuesperanza_01_neruda_128kb_10
l,0-0-29-4,ẽ,o,indolencia,7.61,7.67,habitanteysuesperanza_01_neruda_128kb_10
ẽ,0-0-29-5,n,l,indolencia,7.67,7.75,habitanteysuesperanza_01_neruda_128kb_10
n,0-0-29-6,s,ẽ,indolencia,7.75,7.81,habitanteysuesperanza_01_neruda_128kb_10
s,0-0-29-7,j,n,indolencia,7.81,7.9,habitanteysuesperanza_01_neruda_128kb_10
j,0-0-29-8,a,s,indolencia,7.9,7.95,habitanteysuesperanza_01_neruda_128kb_10
a,0-0-29-9,#,j,indolencia,7.95,8.12,habitanteysuesperanza_01_neruda_128kb_10
,0-0-30-0,#,#,,8.12,8.150635,habitanteysuesperanza_01_neruda_128kb_10
n,0-0-0-0,o,#,no,0.0,0.09,habitanteysuesperanza_01_neruda_128kb_11
o,0-0-0-1,#,n,no,0.09,0.2,habitanteysuesperanza_01_neruda_128kb_11
e,0-0-1-0,s,#,es,0.2,0.23,habitanteysuesperanza_01_neruda_128kb_11
s,0-0-1-1,#,e,es,0.23,0.31,habitanteysuesperanza_01_neruda_128kb_11
r,0-0-2-0,a,#,raro,0.31,0.37,habitanteysuesperanza_01_neruda_128kb_11
a,0-0-2-1,ɾ,r,raro,0.37,0.46,habitanteysuesperanza_01_neruda_128kb_11
ɾ,0-0-2-2,o,a,raro,0.46,0.51,habitanteysuesperanza_01_neruda_128kb_11
o,0-0-2-3,#,ɾ,raro,0.51,0.6,habitanteysuesperanza_01_neruda_128kb_11
c,0-0-3-0,e,#,que,0.6,0.66,habitanteysuesperanza_01_neruda_128kb_11
e,0-0-3-1,#,c,que,0.66,0.75,habitanteysuesperanza_01_neruda_128kb_11
e,0-0-4-0,s,#,esas,0.75,0.79,habitanteysuesperanza_01_neruda_128kb_11
s,0-0-4-1,a,e,esas,0.79,0.89,habitanteysuesperanza_01_neruda_128kb_11
a,0-0-4-2,s,s,esas,0.89,0.94,habitanteysuesperanza_01_neruda_128kb_11
s,0-0-4-3,#,a,esas,0.94,1.02,habitanteysuesperanza_01_neruda_128kb_11
b,0-0-5-0,e,#,veces,1.02,1.08,habitanteysuesperanza_01_neruda_128kb_11
e,0-0-5-1,s,b,veces,1.08,1.14,habitanteysuesperanza_01_neruda_128kb_11
s,0-0-5-2,e,e,veces,1.14,1.24,habitanteysuesperanza_01_neruda_128kb_11
e,0-0-5-3,s,s,veces,1.24,1.3,habitanteysuesperanza_01_neruda_128kb_11
s,0-0-5-4,#,e,veces,1.3,1.37,habitanteysuesperanza_01_neruda_128kb_11
